date,account_number,account_name,description,debit,credit,preparer_id,posted,currency
24/11/2025,1002,Accounts Receivable,Payment received from client,370904.47,,P001,Y,INR
13/12/2025,5003,Rent Expense,Intercompany transfer,,272910.58,P001,Y,INR
22/04/2025,1010,Prepaid Expenses,Revenue recognition,301208.36,,P004,N,INR
29/10/2025,2001,Accounts Payable,Tax provision entry,434715.51,,P003,N,INR
21/03/2025,1010,Prepaid Expenses,Tax provision entry,168628.98,,P003,N,INR
26/06/2025,5001,Cost of Goods Sold,Utility bill settlement,,403660.57,P001,Y,USD
10/10/2025,2001,Accounts Payable,Reversing entry,,314505.58,P001,Y,INR
05/12/2025,1010,Prepaid Expenses,Tax provision entry,145049.29,,P004,Y,INR
23/05/2025,4001,Revenue from Services,Advance payment to supplier,417138.16,,P002,Y,INR
10/12/2025,2001,Accounts Payable,Bank charges,468358.97,,P002,Y,INR
25/08/2025,3001,Share Capital,Utility bill settlement,494766.91,,P002,Y,INR
17/01/2025,5004,Utilities Expense,Vendor payment,200881.81,,P002,Y,INR
02/12/2025,4001,Revenue from Services,Loan repayment,,442399.24,P002,Y,INR
07/05/2025,5003,Rent Expense,Revenue recognition,,269719.16,P002,N,INR
12/03/2025,4002,Product Sales,Depreciation entry,45909.25,,P002,Y,INR
15/12/2025,3001,Share Capital,Petty cash reimbursement,,32232.09,P005,N,INR
06/01/2025,5002,Salaries and Wages,Bank charges,,57718.6,P003,Y,INR
11/08/2025,1003,Inventory,Depreciation entry,,2121.04,P003,Y,INR
24/11/2025,4002,Product Sales,Petty cash reimbursement,,99856.1,P005,Y,INR
15/06/2025,4001,Revenue from Services,Payment received from client,,56377.93,P001,Y,INR
04/05/2025,5006,Miscellaneous Expense,Petty cash reimbursement,473501.25,,P005,N,INR
06/03/2025,1003,Inventory,Advance payment to supplier,237903.55,,P002,Y,USD
04/10/2025,5004,Utilities Expense,Bank charges,,345088.88,P004,N,INR
22/09/2025,4001,Revenue from Services,Invoice raised for services,124328.85,,P005,Y,INR
11/10/2025,1010,Prepaid Expenses,Petty cash reimbursement,110498.58,,P001,Y,INR
17/01/2025,5005,Depreciation,Vendor payment,35893.25,,P002,Y,USD
04/10/2025,1003,Inventory,Bank charges,,467789.36,P004,Y,USD
08/04/2025,1002,Accounts Receivable,Invoice raised for services,,329661.88,P004,N,USD
28/01/2025,5002,Salaries and Wages,Advance payment to supplier,492090.52,,P003,Y,USD
25/02/2025,1010,Prepaid Expenses,Office rent payment,,95509.35,P002,Y,USD
23/05/2025,4001,Revenue from Services,Office rent payment,437305.73,,P001,N,INR
30/11/2025,4002,Product Sales,Reversing entry,7871.55,,P004,Y,INR
06/09/2025,4001,Revenue from Services,Office rent payment,432392.87,,P001,Y,USD
19/07/2025,2001,Accounts Payable,Intercompany transfer,,392143.27,P005,Y,USD
05/12/2025,5003,Rent Expense,Depreciation entry,,77821.01,P005,Y,INR
05/10/2025,1001,Cash and Cash Equivalents,Bank charges,157145.6,,P001,N,INR
18/09/2025,1002,Accounts Receivable,Reversing entry,93319.57,,P001,Y,USD
19/10/2025,1010,Prepaid Expenses,Petty cash reimbursement,297462.32,,P003,N,INR
15/04/2025,5002,Salaries and Wages,Bank charges,,157434.84,P003,N,INR
23/08/2025,2002,Short-term Loans,Intercompany transfer,376056.31,,P005,Y,USD
16/10/2025,1002,Accounts Receivable,Invoice raised for services,,269048.38,P001,Y,INR
06/05/2025,2002,Short-term Loans,Utility bill settlement,,79294.54,P001,Y,INR
10/03/2025,2001,Accounts Payable,Invoice raised for services,444911.5,,P005,Y,INR
18/04/2025,5003,Rent Expense,Vendor payment,,102196.86,P001,N,INR
17/02/2025,5002,Salaries and Wages,Loan repayment,414759.37,,P002,Y,INR
23/11/2025,2001,Accounts Payable,Salary disbursement,,370744.84,P001,Y,INR
20/12/2025,5006,Miscellaneous Expense,Salary disbursement,,273022.35,P002,Y,USD
22/01/2025,2001,Accounts Payable,Vendor payment,449541.25,,P002,Y,INR
08/12/2025,1002,Accounts Receivable,Vendor payment,,390168.06,P002,Y,INR
01/04/2025,5006,Miscellaneous Expense,Loan repayment,,12880.79,P003,N,INR
23/03/2025,5004,Utilities Expense,Bank charges,54493.77,,P002,N,INR
24/08/2025,2002,Short-term Loans,Utility bill settlement,410357.92,,P002,Y,INR
24/07/2025,2002,Short-term Loans,Utility bill settlement,,432244.29,P005,Y,USD
19/06/2025,1001,Cash and Cash Equivalents,Invoice raised for services,,438580.69,P001,Y,INR
25/02/2025,5001,Cost of Goods Sold,Loan repayment,,173170.71,P004,N,INR
23/10/2025,1010,Prepaid Expenses,Utility bill settlement,,22671.07,P003,Y,INR
09/08/2025,1002,Accounts Receivable,Advance payment to supplier,,460425.04,P005,Y,INR
08/06/2025,5002,Salaries and Wages,Loan repayment,,163428.36,P004,Y,INR
07/12/2025,3001,Share Capital,Advance payment to supplier,374193.21,,P005,Y,USD
01/01/2025,2001,Accounts Payable,Utility bill settlement,,105486.25,P004,N,USD
12/12/2025,1010,Prepaid Expenses,Revenue recognition,236856.5,,P005,Y,INR
06/12/2025,5002,Salaries and Wages,Petty cash reimbursement,167926.53,,P002,Y,INR
17/03/2025,1001,Cash and Cash Equivalents,Payment received from client,,122798.85,P004,Y,USD
19/11/2025,5001,Cost of Goods Sold,Office rent payment,,359313.78,P002,N,USD
17/03/2025,5002,Salaries and Wages,Bank charges,3269.64,,P002,N,INR
23/12/2025,4002,Product Sales,Depreciation entry,25584.08,,P002,Y,USD
26/08/2025,5002,Salaries and Wages,Revenue recognition,,493952.28,P005,N,USD
17/08/2025,5006,Miscellaneous Expense,Salary disbursement,,371955.89,P002,N,INR
23/11/2025,2001,Accounts Payable,Tax provision entry,,388948.58,P004,Y,INR
09/02/2025,5003,Rent Expense,Utility bill settlement,,117629.54,P002,Y,INR
19/03/2025,1010,Prepaid Expenses,Loan repayment,347127.93,,P004,Y,USD
19/06/2025,4002,Product Sales,Depreciation entry,208179.23,,P005,N,USD
23/12/2025,1001,Cash and Cash Equivalents,Reversing entry,,440388.01,P003,N,INR
02/06/2025,5004,Utilities Expense,Loan repayment,,426797.25,P002,Y,USD
20/05/2025,3001,Share Capital,Depreciation entry,,14997.9,P004,N,INR
07/03/2025,5001,Cost of Goods Sold,Revenue recognition,,13969.74,P004,Y,INR
11/03/2025,5005,Depreciation,Depreciation entry,,91273.65,P002,N,INR
21/08/2025,2002,Short-term Loans,Vendor payment,,380734.24,P003,Y,USD
11/02/2025,4001,Revenue from Services,Payment received from client,374637.62,,P001,Y,INR
30/11/2025,1001,Cash and Cash Equivalents,Tax provision entry,15999.48,,P005,Y,INR
20/03/2025,1010,Prepaid Expenses,Salary disbursement,237043.75,,P003,Y,USD
08/07/2025,1003,Inventory,Petty cash reimbursement,303820.12,,P001,Y,INR
24/10/2025,1001,Cash and Cash Equivalents,Intercompany transfer,,156322.64,P001,N,INR
31/10/2025,5003,Rent Expense,Reversing entry,313807.58,,P005,Y,INR
22/01/2025,2002,Short-term Loans,Revenue recognition,,214474.82,P001,Y,INR
04/08/2025,5005,Depreciation,Depreciation entry,,53216.67,P004,N,INR
01/04/2025,5003,Rent Expense,Revenue recognition,,482754.13,P004,N,USD
31/10/2025,2001,Accounts Payable,Vendor payment,425930.72,,P002,Y,USD
26/08/2025,5001,Cost of Goods Sold,Petty cash reimbursement,,334260.14,P003,Y,USD
04/04/2025,4001,Revenue from Services,Office rent payment,,177735.07,P005,Y,INR
26/12/2025,5006,Miscellaneous Expense,Utility bill settlement,278117.62,,P004,Y,INR
08/09/2025,4002,Product Sales,Tax provision entry,,120541.81,P001,N,USD
17/02/2025,2001,Accounts Payable,Office rent payment,202498.36,,P004,Y,INR
11/10/2025,4002,Product Sales,Vendor payment,,213039.15,P003,Y,USD
06/06/2025,2001,Accounts Payable,Office rent payment,60767.61,,P005,Y,INR
20/12/2025,1003,Inventory,Office rent payment,,108584.13,P001,Y,INR
10/04/2025,2001,Accounts Payable,Office rent payment,,180760.09,P003,Y,INR
24/01/2025,1001,Cash and Cash Equivalents,Revenue recognition,146422.25,,P001,N,INR
21/10/2025,2001,Accounts Payable,Depreciation entry,,239617.75,P003,Y,INR
02/09/2025,1002,Accounts Receivable,Reversing entry,,33139.05,P002,Y,INR
18/03/2025,5004,Utilities Expense,Petty cash reimbursement,474588.26,,P005,Y,INR
02/08/2025,5001,Cost of Goods Sold,Petty cash reimbursement,395475.04,,P004,N,USD
02/06/2025,5005,Depreciation,Petty cash reimbursement,,495020.61,P002,Y,INR
17/11/2025,1010,Prepaid Expenses,Utility bill settlement,330383.85,,P005,Y,INR
08/02/2025,1003,Inventory,Payment received from client,,204554.53,P002,Y,INR
28/05/2025,5003,Rent Expense,Utility bill settlement,,351642.29,P003,Y,INR
17/11/2025,5001,Cost of Goods Sold,Advance payment to supplier,402050.89,,P005,N,INR
26/04/2025,5002,Salaries and Wages,Salary disbursement,454251.52,,P002,Y,INR
07/06/2025,5001,Cost of Goods Sold,Bank charges,,412208.03,P004,N,INR
19/12/2025,2001,Accounts Payable,Bank charges,,201553.01,P001,N,USD
